Temp,Rain,Wind
8.2,0.0,6.7
18.0,0.0,0.9
14.6,0.0,1.3
8.3,0.2,4.0
11.4,0.0,1.8
22.2,0.0,5.4
24.1,0.0,3.1
8.0,0.0,2.2
13.1,0.0,5.4
22.8,0.0,4.0
17.8,0.0,7.2
19.3,0.0,4.0
17.0,0.0,6.7
21.3,0.0,2.2
26.4,0.0,4.5
22.9,0.0,5.4
15.1,0.0,5.4
16.7,0.0,4.9
15.9,0.0,4.0
9.3,0.0,4.5
18.3,0.0,2.7
19.1,0.0,2.7
21.0,0.0,4.5
19.5,0.0,5.8
23.7,0.0,5.8
16.3,0.0,5.4
19.0,0.0,5.8
19.4,0.0,1.3
30.2,0.0,2.7
22.8,0.0,3.6
25.4,0.0,3.6
11.2,0.0,7.6
20.6,0.0,1.8
17.7,0.0,3.6
21.2,0.0,2.7
18.2,0.0,4.5
21.7,0.0,4.5
11.3,0.0,5.4
17.8,0.0,4.0
14.1,0.0,2.7
23.3,0.0,3.1
18.4,0.0,6.7
16.6,0.0,5.4
19.6,0.0,2.7
12.9,0.0,4.9
25.9,0.0,4.0
14.7,0.0,3.6
23.0,0.0,3.1
11.8,0.0,1.8
11.0,0.0,5.8
20.8,0.0,1.3
21.5,0.0,2.2
20.4,0.0,4.9
20.4,0.0,4.9
17.6,0.0,3.6
27.7,0.0,2.2
17.8,0.0,4.9
13.8,0.0,2.7
13.9,0.0,5.4
12.3,0.0,0.9
11.5,0.0,5.8
5.5,0.0,6.3
18.8,0.0,4.9
20.8,0.0,2.7
23.1,0.0,3.1
18.6,0.0,4.5
23.0,0.0,4.5
19.6,0.0,5.4
19.6,0.0,6.3
17.2,0.0,4.5
15.8,0.0,7.6
17.7,0.0,3.6
15.6,0.0,6.3
17.3,0.0,4.5
27.6,0.0,1.3
6.7,0.0,3.1
15.7,0.0,3.1
8.3,0.0,3.1
14.7,0.0,2.7
21.6,0.0,6.7
19.5,0.0,6.3
17.9,0.0,2.2
18.6,0.0,4.5
16.6,0.0,0.9
20.2,0.0,3.6
21.5,0.0,0.9
25.4,0.0,2.2
22.4,0.0,2.2
25.3,0.0,3.6
